ticker,mean_error,std_error,feature_importances,mean_r2,std_r2
KDP,0.00022629558204601916,0.0002678473733939621,"[0.11802687 0.07678118 0.10584094 0.11766539 0.09477363 0.11262606
 0.11162536 0.08900724 0.08548864 0.08816471]",-2.412789128940249,5.124678924966894
TXT,0.00033484460658782017,0.0004320927891576668,"[0.08229057 0.08767188 0.11206812 0.10904349 0.10613407 0.10618473
 0.10188792 0.09651582 0.10256851 0.09563487]",-2.093630806983893,4.825520086246351
DHR,0.0004177871082126461,0.0003746838632012278,"[0.18996336 0.09405028 0.1849425  0.07537956 0.07316644 0.06927988
 0.07780301 0.08322391 0.07760777 0.07458327]",-1.8260392358835236,3.7949824490960573
INTU,0.0005090729214452514,0.0005170590962555968,"[0.07581671 0.08017781 0.09511641 0.11254725 0.09491945 0.10481369
 0.10366642 0.11565301 0.11918263 0.09810662]",-0.8085962504856697,2.0105513153086663
WFC,0.00036765684306049084,0.0003657018223736316,"[0.05468004 0.07716954 0.11702435 0.10648048 0.09765042 0.10160615
 0.14818163 0.10935509 0.09427176 0.09358054]",-1.1887015356253385,2.6524540478617027
AXON,0.0007997109889962523,0.0010890249929433498,"[0.0657682  0.08978138 0.10234047 0.1025949  0.10164712 0.11817356
 0.08895975 0.11076437 0.10988008 0.11009008]",-2.5639726238255056,7.102396133626416
MGM,0.000663950984225192,0.0006288867552520994,"[0.07407813 0.09088755 0.10360751 0.1331211  0.09019742 0.11153249
 0.0992614  0.07850176 0.12773517 0.09107745]",-0.9876745153435093,1.3265613083690635
BG,0.0004202319384626709,0.0007419218200675991,"[0.07425445 0.09050366 0.0877545  0.07800213 0.12251481 0.095072
 0.12593614 0.1278515  0.10577766 0.0923331 ]",-0.9692873398900012,1.6526337652720167
TGT,0.0005061409260990312,0.0008513098444778003,"[0.05890186 0.07441708 0.0779139  0.09400239 0.11189646 0.13285545
 0.11304685 0.15675858 0.10202857 0.07817888]",-1.4615921103008052,5.2060054564778095
NSC,0.0002833928651549414,0.000221837570572158,"[0.07537562 0.07144118 0.12302091 0.10562333 0.1179907  0.10600456
 0.11318898 0.10324934 0.08871078 0.0953946 ]",-1.2959039243620731,2.017046768769865
ETN,0.0003473870437576034,0.0003035238430144341,"[0.10095777 0.08195104 0.0857637  0.11120497 0.10208809 0.11324418
 0.09678277 0.12014898 0.10138259 0.08647589]",-1.5025723513932154,3.286602726093688
MET,0.0003567757321984898,0.00036009318888739853,"[0.06501718 0.0846735  0.10880438 0.13979265 0.09411418 0.09223379
 0.12223943 0.10300307 0.0902956  0.09982627]",-1.2218492515312043,1.6298238000763126
CBRE,0.0004554866888125963,0.00045700010731173133,"[0.07379206 0.08734038 0.10655233 0.09486309 0.12383111 0.09874906
 0.13132264 0.10209972 0.08829204 0.09315757]",-1.0947938590009538,1.675904013003762
CF,0.0005885294983110531,0.00036015122586427933,"[0.0650106  0.09868134 0.09851309 0.10885714 0.08888831 0.10177201
 0.1078789  0.10464333 0.10957772 0.11617753]",-1.5388769065613903,3.165922486288047
KMB,0.00012862470648040728,9.806833464729147e-05,"[0.08112576 0.08083561 0.1030791  0.10682609 0.10167453 0.09461092
 0.10138115 0.12516062 0.09225828 0.11304788]",-0.9022519201170153,1.4911761961808
PM,0.00015666873869720112,0.00013067620576318346,"[0.08572841 0.10200962 0.1289853  0.08862656 0.11018202 0.07962522
 0.10787433 0.08934831 0.10970334 0.09791686]",-1.9057176172423709,3.4884325832898733
WEC,0.0002518492116851207,0.00024986554037289714,"[0.08608618 0.09059694 0.10643451 0.10751352 0.12315787 0.09666236
 0.08853432 0.10371683 0.11101137 0.08628609]",-1.1912300218482623,1.4243831198464472
SRE,0.00019276286975981294,0.00013222960100001005,"[0.072482   0.07783636 0.0623417  0.09383985 0.08539762 0.12830968
 0.09756625 0.11654592 0.18222393 0.08345667]",-1.5862621709116025,4.779499691754628
FDX,0.00037207756998951843,0.0005511972131866335,"[0.07047062 0.08967693 0.08841261 0.09094741 0.11559428 0.10119988
 0.13519202 0.11265837 0.10120767 0.09464025]",-1.1572703667734099,1.641138703957478
IVZ,0.0005645121372195735,0.0009519147787973173,"[0.06134022 0.08232639 0.0822607  0.14302464 0.11416364 0.08893499
 0.09083187 0.1161424  0.1110865  0.10988858]",-0.617503123914448,1.2004386433341325
CTRA,0.00044665756748905725,0.00042997600389628845,"[0.07920394 0.0805821  0.11155307 0.09641394 0.09851183 0.1000635
 0.10138561 0.10943115 0.10868362 0.11417128]",-0.89115207873457,1.371890570760942
